expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
有効,ゆうこう,"valid, effectual",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,iL.?i)%fKm,"ถูกต้อง มีประสิทธิภาพ, ใช้ได้, บังเกิดผล, เป็นผล",この薬は有効ですか。,ยานี้มีประสิทธิภาพหรือไม่
優秀,ゆうしゅう,"superiority, excellence",JLPT JLPT_2 JLPT_3,O^v!ja{$6},"ความเหนือกว่า ความเป็นเลิศ, ความดีเยี่ยม, ความโดดเด่น, ความพิเศษ",彼は優秀な学生です。,เขาเป็นนักเรียนที่ยอดเยี่ยม
優勝,ゆうしょう,"overall victory, championship",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,Gxir)F$3h;,"ชัยชนะโดยรวม, แชมป์, แชมป์เปี้ยน, ผู้ชนะเลิศ",優勝おめでとうございます！,ขอแสดงความยินดีที่ชนะเลิศ!
友情,ゆうじょう,"friendship, fellowship",JLPT JLPT_2 JLPT_3,hpnSza2$^g,"มิตรภาพ ความสนิทสนม, ความเป็นกันเอง, ความคุ้นเคย, ความสนิท",友情を大切にします。,ให้ความสำคัญกับมิตรภาพ
友人,ゆうじん,friend (formal),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.2,iE%IT=Qp]>,"เพื่อน (แบบทางการ), สหาย, มิตรสหาย, เพื่อนพ้อง",彼は私の友人です。,เขาเป็นเพื่อนของฉัน
有能,ゆうのう,"able, capable, efficient",JLPT JLPT_2 JLPT_3,P0&QeU;_J8,"มีความสามารถ มีประสิทธิภาพ, เก่งกาจ, มีฝีมือ, เป็นเลิศ",有能な人材を求めている。,กำลังมองหาบุคลากรที่มีความสามารถ
郵便,ゆうびん,"mail, postal service",JLPT JLPT_2 JLPT_3,y1Pm-8jy]k,"จดหมาย บริการไปรษณีย์, ไปรษณีย์, ไปรษณียภัณฑ์, ส่งจดหมาย",郵便局はどこですか。,ที่ทำการไปรษณีย์อยู่ที่ไหน
ユーモア,ユーモア,humor,JLPT JLPT_2 JLPT_3,df%[k|%u*+,"อารมณ์ขัน, มุกตลก, เรื่องตลก, ความขบขัน",彼のユーモアは面白い。,อารมณ์ขันของเขาตลก
有利,ゆうり,"advantageous, better",JLPT JLPT_2 JLPT_3,H]2^aHqq32,"ได้เปรียบ ดีกว่า, เป็นต่อ, ได้ผลดี, เหนือกว่า",この取引は有利です。,การทำธุรกรรมนี้ได้เปรียบ
床,ゆか,floor,JLPT JLPT_2 JLPT_3,lG~]%rmVy|,"พื้น, พื้นห้อง, พื้นบ้าน, ปูพื้น",床に座ります。,นั่งบนพื้น
愉快,ゆかい,"pleasant, happy",JLPT JLPT_2 JLPT_3,"o,+Kowdko`","น่าพึงพอใจ มีความสุข, น่ายินดี, สุขใจ, เบิกบาน",愉快な時間を過ごしました。,ใช้เวลาอย่างมีความสุข
譲る,ゆずる,"to turn over, to assign, to hand over",JLPT JLPT_2 JLPT_3,Hvg@/iJB}O,"ส่งมอบ มอบหมาย โอนย้าย, ส่งต่อ, โอนให้, ยกให้",席を譲ります。,ให้ที่นั่ง
豊か,ゆたか,"abundant, wealthy, plentiful, rich",JLPT JLPT_2 JLPT_3,"d9lbZ0yM,{","อุดมสมบูรณ์ มั่งคั่ง มากมาย มั่งคั่ง, บริบูรณ์, ร่ำรวย, เพียบพร้อม",豊かな自然。,ธรรมชาติที่อุดมสมบูรณ์
茹でる,ゆでる,to boil,JLPT JLPT_2 JLPT_3,vocx6RiGG7,"ต้ม, เดือด, ต้มน้ำ, ลวก",卵を茹でます。,ต้มไข่
許す,ゆるす,"to permit, to allow, to approve",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,jUZ.+k2dQs,"อนุญาต, ยินยอม, อนุมัติ, ยอมรับ",彼女は私を許してくれました。,เธอให้อภัยฉันแล้ว
夜,よ,"evening, night",JLPT JLPT_2 JLPT_3,O|UO#;VR|i,"ตอนเย็น กลางคืน, เวลาเย็น, ค่ำคืน, ราตรี",夜は寒いです。,ตอนกลางคืนหนาว
夜明け,よあけ,"dawn, daybreak",JLPT JLPT_2 JLPT_3,P]gvvnr3UX,"รุ่งอรุณ, แสงอรุณ, อรุณรุ่ง, เช้าตรู่",夜明け前に出発します。,ออกเดินทางก่อนรุ่งสาง
酔う,よう,to get drunk,JLPT JLPT_2 JLPT_3,Nw#Iv9NMME,"ดื่มจนเมา, เมามาย, ดื่มเหล้า, มึนเมา",お酒を飲んで酔いました。,ดื่มเหล้าจนเมา
容易,ようい,"easy, simple, plain",JLPT JLPT_2 JLPT_3,P+bB1Di`Ky,"ง่าย เรียบง่าย ตรงไปตรงมา, สะดวก, ไม่ซับซ้อน, เข้าใจง่าย",これは容易な問題です。,นี่เป็นปัญหาที่ง่าย
容器,ようき,"container, vessel",JLPT JLPT_2 JLPT_3,iaea{|Cg@:,"ภาชนะ, เรือ, ถ้วยชาม, เครื่องใช้",この容器は大きいです。,ภาชนะนี้ใหญ่
陽気,ようき,"season, weather, cheerfulness",JLPT JLPT_2 JLPT_3,u51di;kV4W,"ฤดูกาล สภาพอากาศ ความร่าเริง, ช่วงเวลา, บรรยากาศ, ความสนุกสนาน",陽気な天気。,อากาศสดใส
要求,ようきゅう,"request, demand",JLPT JLPT_2 JLPT_3,nvC?4QsNf},"คำขอ, ความต้องการ, ข้อเรียกร้อง, ความประสงค์",新しい要求。,ความต้องการใหม่
用心,ようじん,"care, precaution, caution",JLPT JLPT_2 JLPT_3,Flc5De-&7.,"ความระมัดระวัง, การระมัดระวัง, ความรอบคอบ, ความไม่ประมาท",用心してください。,โปรดระวัง
様子,ようす,"aspect, state, appearance",JLPT JLPT_2 JLPT_3,A7/`ZQ{`>8,"ลักษณะ, สถานะ, รูปลักษณ์, สภาพการณ์",様子がおかしい。,ดูท่าทางผิดปกติ
要するに,ようするに,"in a word, after all, in short …",JLPT JLPT_2 JLPT_3,FOjPBhXtfP,"กล่าวโดยสรุปแล้ว..., สรุปคือ, โดยสรุป, ท้ายที่สุดแล้ว",要するに、彼は反対です。,สรุปคือ เขาไม่เห็นด้วย
要素,ようそ,element,JLPT JLPT_2 JLPT_3,GZk%&=rm6%,"องค์ประกอบ, ส่วนประกอบ, ปัจจัย, ธาตุ",成功の要素。,องค์ประกอบของความสำเร็จ
要点,ようてん,"gist, main point",JLPT JLPT_2 JLPT_3,Qs5wBsMZ.},"ใจความสำคัญ, ประเด็นหลัก, สาระสำคัญ, จุดสำคัญ",要点をまとめてください。,สรุปประเด็นสำคัญ
曜日,ようび,day of the week,JLPT JLPT_2 JLPT_3,H-|U<zuUTq,"วันในสัปดาห์, วันเวลา, วันหยุดสุดสัปดาห์, วันหยุดราชการ",今日は何曜日ですか。,วันนี้วันอะไร
ヨーロッパ,ヨーロッパ,Europe,JLPT JLPT_2 JLPT_3,cEJaT(aXg,"ยุโรป, ทวีปยุโรป, ชาวยุโรป, ประเทศยุโรป",ヨーロッパに行きたいです。,อยากไปยุโรป
予期,よき,"expectation, forecast",JLPT JLPT_2 JLPT_3,k(Z/4d8ciX,"ความคาดหวัง การพยากรณ์, ความหวัง, การคาดคะเน, การทำนาย",予期せぬ出来事。,เหตุการณ์ที่ไม่คาดคิด
横切る,よこぎる,"to cross (e.g., arms), to traverse",JLPT JLPT_2 JLPT_3,ba+_Ekz}4>,"ข้าม (เช่น แขน) ข้ามผ่าน, ผ่านข้าม, ก้าวข้าม, เดินข้าม",道を横切る。,ข้ามถนน
汚す,よごす,"to pollute, to make dirty",JLPT JLPT_2 JLPT_3,gASRu}ar&],"ทำให้เป็นมลพิษ ทำให้สกปรก, สร้างมลภาวะ, แปดเปื้อน, เลอะเทอะ",手を汚す。,ทำให้มือสกปรก
予算,よさん,"estimate, budget",JLPT JLPT_2 JLPT_3,k15uOKT$nk,"ประมาณการ งบประมาณ, การประมาณ, งบประมาณรายจ่าย, ค่าใช้จ่าย",予算が足りない。,งบประมาณไม่พอ
止す,よす,"to cease, to give up",JLPT JLPT_2 JLPT_3,g87)Rqp|@G,"เลิก, ยอมแพ้, หยุด, ล้มเลิก",その話はもう止す。,เลิกพูดเรื่องนั้นได้แล้ว
寄せる,よせる,"to collect, to gather, to put aside",JLPT JLPT_2 JLPT_3,M9{&7Gc5&~,"รวบรวม, เก็บสะสม, กันไว้, สะสม",ゴミを寄せる。,รวบรวมขยะ
予測,よそく,"prediction, estimation",JLPT JLPT_2 JLPT_3,E(^1aDIi!6,"การทำนาย การประมาณค่า, การพยากรณ์, การคาดการณ์, การคาดคะเน",将来を予測する。,คาดการณ์อนาคต
ヨット,ヨット,yacht,JLPT JLPT_2 JLPT_3,G/C^ah63g_,"ยอชต์, เรือยอชต์, เรือสำราญ, เรือใบ",ヨットに乗る。,ขึ้นเรือยอชต์
夜中,よなか,"midnight, dead of night",JLPT JLPT_2 JLPT_3,QTA:28I)zV,"เที่ยงคืน กลางดึก, ดึกสงัด, ยามวิกาล, เวลากลางคืน",夜中に目が覚めた。,ตื่นตอนกลางดึก
世の中,よのなか,"society, the world",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,zQaur22G#@,"สังคม โลก, ประชาคม, โลกมนุษย์, สากลโลก",世の中は広い。,โลกนี้กว้างใหญ่
余分,よぶん,"extra, excess, surplus",JLPT JLPT_2 JLPT_3,uLcn4c5r}h,"ส่วนเกิน, มากเกิน, เหลือเฟือ, ส่วนที่เหลือ",余分なものはありません。,ไม่มีอะไรเกินมา
予報,よほう,"forecast, prediction",JLPT JLPT_2 JLPT_3,CpZ2Kf3K1p,"การพยากรณ์ การคาดการณ์, การทำนาย, การคาดคะเน, การคาดหมาย",天気予報を見る。,ดูพยากรณ์อากาศ
予防,よぼう,"prevention, protection against",JLPT JLPT_2 JLPT_3,rDZhF+<_&},"การป้องกัน การคุ้มครองจาก, การสกัดกั้น, การปกป้อง, การคุ้มกัน",病気の予防。,การป้องกันโรค
読み,よみ,reading,JLPT JLPT_2 JLPT_3,K?H`Don1~V,"การอ่าน, การอ่านหนังสือ, การถอดความ, การอ่านออกเสียง",この漢字の読みは？,อ่านคันจิอันนี้ว่าอะไร
